Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,,QuestionType
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,20,"Identify the incorrect sentence or sentences:
a. Shende lost the use for his arms in childhood.
b. Yet he is an expert harmonium player.
c. He is a music teacher also at Mumbai’s municipal school.
d. Shende plays the harmonium deftly with his toes.",a and c,a and b,c and d,b and d,,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,21,Synonyms - ABSTRACT,Peculiar,Summary,Normal,Diagnostic,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,22,Synonyms - COMPLACENT,Disappointed,Evasive,Satisfied,Flimsy,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,23,Synonyms - EXTERMINATE,Evict,Dissociate,Accuse,Annihilate,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,24,Synonyms - CHAGRIN,Current,Annoyance,Accuse,Intoxicate,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,25,Synonyms - DUNK,Douse,Stale,Wet,Smell,,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,26,Synonyms - DISTRAUGHT,Agitated,Tranquil,Rugged,Uneven,,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,27,Synonyms - LISSOME,Pretty,Petite,Lithe,Tiny,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,28,Synonyms - PALLIATE,Alleviate,Denude,Mollify,Approbate,,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,29,Synonyms - RESILIENT,Stretchable,Spirited,Rigid,Buoyant,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,30,Synonyms - IMPETUOUS,Cat Like,Rash,Impertinent,Jovial,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,31,Synonyms - ARRAIGN,Exonerate,Initiate,Accuse,Impart,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,32,Synonyms - APOCRYPHAL,Huge,Destructive,Mythological,Dubious,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,33,Synonyms - ABDUCT,Ransack,Surround,Destroy,Kidnap,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,34,Synonyms - ABODE,Sanctuary,Asylum,Reformatory,Dwelling,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,35,Synonyms - EPITOMIZE,Disappoint,Distend,Embody,Generate,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,36,Synonyms - REPRIEVE,Save,Forgive,Victimize,Cure,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,37,Synonyms - TRIBUTE,Declaration,Accolade,Criticism,Anger,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,38,Synonyms - OUTFIT,Costume,Career,Behaviour,Employment,,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,39,Synonyms - ACCREDIT,Undermine,Legalize,Enlighten,Recognize,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,40,Synonyms - CAUSTIC,Rude,Sarcastic,Brazen,Polite,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,41,Synonyms - DECREE,Request,Worship,Appeal,Command,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,42,Synonyms - ARBITRATE,Compare,Attach,Believe,Judge,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,43,Synonyms - AFFIDAVIT,Document,Oath,Deposition,Will,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,44,Synonyms - ASPERITY,Parity,Ascendancy,Harshness,Accuracy,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,45,Synonyms - VAPID,Quick,Restless,Insipid,Decisive,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,46,Synonyms - FUSTY,Freak,Musty,Delicate,Roomy,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,47,Synonyms - EXPROPRIATE,Embiggle,Seize,Wreck,Outsmart,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,48,Synonyms - FORLORN,Forgotten,Lamented,Courageous,Woebegone,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,49,Synonyms - THRIFTLESS,Penurious,Mendacious,Profligate,Tackless,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,50,Synonyms - COMBUSTION,Ignition,Explain,Shrinkage,Strength,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,51,Antonyms - IMMACULATE,Unclean,Immobile,Motherly,Accumulated,,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,52,Antonyms - IGNOMINIOUS,Crooked,Dishonest,Ominous,Laudable,,D,,MCQ
