ChapterName,TestNumber,QuestionNumber,Answer
Dynamics,Assessment Test IV,15,a
Wave Motion and Sound,Assessment Test I,1,a
Wave Motion and Sound,Assessment Test I,2,b
Wave Motion and Sound,Assessment Test I,3,d
Wave Motion and Sound,Assessment Test I,4,b
Wave Motion and Sound,Assessment Test I,5,b
Wave Motion and Sound,Assessment Test I,6,b
Wave Motion and Sound,Assessment Test I,7,a
Wave Motion and Sound,Assessment Test I,8,a
Wave Motion and Sound,Assessment Test I,9,b
Wave Motion and Sound,Assessment Test I,10,
Wave Motion and Sound,Assessment Test I,11,d
Wave Motion and Sound,Assessment Test I,12,d
Wave Motion and Sound,Assessment Test I,13,b
Wave Motion and Sound,Assessment Test I,14,c
Wave Motion and Sound,Assessment Test I,15,a
Wave Motion and Sound,Assessment Test II,1,a
Wave Motion and Sound,Assessment Test II,2,d
Wave Motion and Sound,Assessment Test II,3,c
Wave Motion and Sound,Assessment Test II,4,d
Wave Motion and Sound,Assessment Test II,5,d
Wave Motion and Sound,Assessment Test II,6,a
Wave Motion and Sound,Assessment Test II,7,b
Wave Motion and Sound,Assessment Test II,8,d
Wave Motion and Sound,Assessment Test II,9,b
Wave Motion and Sound,Assessment Test II,10,
Wave Motion and Sound,Assessment Test II,11,c
Wave Motion and Sound,Assessment Test II,12,b
Wave Motion and Sound,Assessment Test II,13,d
Wave Motion and Sound,Assessment Test II,14,b
Wave Motion and Sound,Assessment Test II,15,a
Wave Motion and Sound,Assessment Test III,1,b
Wave Motion and Sound,Assessment Test III,2,a
Wave Motion and Sound,Assessment Test III,3,b
Wave Motion and Sound,Assessment Test III,4,a
Wave Motion and Sound,Assessment Test III,5,b
Wave Motion and Sound,Assessment Test III,6,c
Wave Motion and Sound,Assessment Test III,7,c
Wave Motion and Sound,Assessment Test III,8,a
Wave Motion and Sound,Assessment Test III,9,c
Wave Motion and Sound,Assessment Test III,10,
Wave Motion and Sound,Assessment Test III,11,b
Wave Motion and Sound,Assessment Test III,12,a
Wave Motion and Sound,Assessment Test III,13,d
Wave Motion and Sound,Assessment Test III,14,c
Wave Motion and Sound,Assessment Test III,15,b
Wave Motion and Sound,Assessment Test IV,1,d
Wave Motion and Sound,Assessment Test IV,2,b
Wave Motion and Sound,Assessment Test IV,3,d
Wave Motion and Sound,Assessment Test IV,4,a
Wave Motion and Sound,Assessment Test IV,5,b
Wave Motion and Sound,Assessment Test IV,6,b
Wave Motion and Sound,Assessment Test IV,7,b
Wave Motion and Sound,Assessment Test IV,8,b
Wave Motion and Sound,Assessment Test IV,9,a
Wave Motion and Sound,Assessment Test IV,10,
Wave Motion and Sound,Assessment Test IV,11,a
Wave Motion and Sound,Assessment Test IV,12,d
Wave Motion and Sound,Assessment Test IV,13,b
Wave Motion and Sound,Assessment Test IV,14,a
Wave Motion and Sound,Assessment Test IV,15,d
Light,Assessment test I,1,c 
Light,Assessment test I,2,c 
Light,Assessment test I,3,b
Light,Assessment test I,4,d
Light,Assessment test I,5,c 
Light,Assessment test I,6,a
Light,Assessment test I,7,d
Light,Assessment test I,8,a
Light,Assessment test I,9,a
Light,Assessment test I,10,a
Light,Assessment test I,11,b
Light,Assessment test I,12,a
Light,Assessment test I,13,c 
Light,Assessment test I,14,a
Light,Assessment test I,15,a
Light,Assessment test II,1,a
Light,Assessment test II,2,b
Light,Assessment test II,3,d
Light,Assessment test II,4,c 
Light,Assessment test II,5,c 
Light,Assessment test II,6,d
Light,Assessment test II,7,c 
Light,Assessment test II,8,d
Light,Assessment test II,9,d
Light,Assessment test II,10,a
Light,Assessment test II,11,a
Light,Assessment test II,12,d
Light,Assessment test II,13,d
Light,Assessment test II,14,a
Light,Assessment test II,15,a
Light,Assessment test III,1,d
Light,Assessment test III,2,b
Light,Assessment test III,3,c 
Light,Assessment test III,4,b
Light,Assessment test III,5,c 
Light,Assessment test III,6,c 
Light,Assessment test III,7,a
Light,Assessment test III,8,c 
Light,Assessment test III,9,c 
Light,Assessment test III,10,a
Light,Assessment test III,11,c 
Light,Assessment test III,12,a
Light,Assessment test III,13,a
Light,Assessment test III,14,b
Light,Assessment test III,15,d
Light,Assessment test IV,1,d
Light,Assessment test IV,2,a
Light,Assessment test IV,3,c 
Light,Assessment test IV,4,d
Light,Assessment test IV,5,b
Light,Assessment test IV,6,b
Light,Assessment test IV,7,d
Light,Assessment test IV,8,b
Light,Assessment test IV,9,a
Light,Assessment test IV,10,b
Light,Assessment test IV,11,c 
Light,Assessment test IV,12,b
Light,Assessment test IV,13,a
Light,Assessment test IV,14,c 
Light,Assessment test IV,15,c 
Electricity,Assessment Test I,1,d
Electricity,Assessment Test I,2,d
Electricity,Assessment Test I,3,d
Electricity,Assessment Test I,4,c
Electricity,Assessment Test I,5,c
Electricity,Assessment Test I,6,d
Electricity,Assessment Test I,7,a
Electricity,Assessment Test I,8,c
Electricity,Assessment Test I,9,c
Electricity,Assessment Test I,10,a
Electricity,Assessment Test I,11,c
Electricity,Assessment Test I,12,a
Electricity,Assessment Test I,13,b
Electricity,Assessment Test I,14,b
Electricity,Assessment Test I,15,c
Electricity,Assessment Test II,1,a
Electricity,Assessment Test II,2,b
Electricity,Assessment Test II,3,a
Electricity,Assessment Test II,4,c
Electricity,Assessment Test II,5,d
Electricity,Assessment Test II,6,b
Electricity,Assessment Test II,7,b
Electricity,Assessment Test II,8,c
Electricity,Assessment Test II,9,b
Electricity,Assessment Test II,10,c
Electricity,Assessment Test II,11,c
Electricity,Assessment Test II,12,b
Electricity,Assessment Test II,13,a
Electricity,Assessment Test II,14,c
Electricity,Assessment Test II,15,b
Electricity,Assessment Test III,1,b
Electricity,Assessment Test III,2,d
Electricity,Assessment Test III,3,b
Electricity,Assessment Test III,4,c
Electricity,Assessment Test III,5,b
Electricity,Assessment Test III,6,d
Electricity,Assessment Test III,7,b
Electricity,Assessment Test III,8,b
Electricity,Assessment Test III,9,b
Electricity,Assessment Test III,10,c
Electricity,Assessment Test III,11,d
Electricity,Assessment Test III,12,b
Electricity,Assessment Test III,13,c
Electricity,Assessment Test III,14,c
Electricity,Assessment Test III,15,b
Electricity,Assessment Test IV,1,c
Electricity,Assessment Test IV,2,d
Electricity,Assessment Test IV,3,d
Electricity,Assessment Test IV,4,b
Electricity,Assessment Test IV,5,c
Electricity,Assessment Test IV,6,d
Electricity,Assessment Test IV,7,d
Electricity,Assessment Test IV,8,c
Electricity,Assessment Test IV,9,d
Electricity,Assessment Test IV,10,c
Electricity,Assessment Test IV,11,a
Electricity,Assessment Test IV,12,d
Electricity,Assessment Test IV,13,a
Electricity,Assessment Test IV,14,c
Electricity,Assessment Test IV,15,c
Magnetism and Our Universe,Assessment Test I,1,d
Magnetism and Our Universe,Assessment Test I,2,c
Magnetism and Our Universe,Assessment Test I,3,a
Magnetism and Our Universe,Assessment Test I,4,a
Magnetism and Our Universe,Assessment Test I,5,b
Magnetism and Our Universe,Assessment Test I,6,a
Magnetism and Our Universe,Assessment Test I,7,b
Magnetism and Our Universe,Assessment Test I,8,d
Magnetism and Our Universe,Assessment Test I,9,d
Magnetism and Our Universe,Assessment Test I,10,a
Magnetism and Our Universe,Assessment Test I,11,a
Magnetism and Our Universe,Assessment Test I,12,c
Magnetism and Our Universe,Assessment Test I,13,d
Magnetism and Our Universe,Assessment Test I,14,c
Magnetism and Our Universe,Assessment Test I,15,a
Magnetism and Our Universe,Assessment Test II,1,a
Magnetism and Our Universe,Assessment Test II,2,b
Magnetism and Our Universe,Assessment Test II,3,c
Magnetism and Our Universe,Assessment Test II,4,b
Magnetism and Our Universe,Assessment Test II,5,a
Magnetism and Our Universe,Assessment Test II,6,a
Magnetism and Our Universe,Assessment Test II,7,c
Magnetism and Our Universe,Assessment Test II,8,c
Magnetism and Our Universe,Assessment Test II,9,c
Magnetism and Our Universe,Assessment Test II,10,c
Magnetism and Our Universe,Assessment Test II,11,c
Magnetism and Our Universe,Assessment Test II,12,a
Magnetism and Our Universe,Assessment Test II,13,c
Magnetism and Our Universe,Assessment Test II,14,a
Magnetism and Our Universe,Assessment Test II,15,d
Magnetism and Our Universe,Assessment Test III,1,c
Magnetism and Our Universe,Assessment Test III,2,b
Magnetism and Our Universe,Assessment Test III,3,b
Magnetism and Our Universe,Assessment Test III,4,c
Magnetism and Our Universe,Assessment Test III,5,d
Magnetism and Our Universe,Assessment Test III,6,b
Magnetism and Our Universe,Assessment Test III,7,a
Magnetism and Our Universe,Assessment Test III,8,a
Magnetism and Our Universe,Assessment Test III,9,a
Magnetism and Our Universe,Assessment Test III,10,b
Magnetism and Our Universe,Assessment Test III,11,d
Magnetism and Our Universe,Assessment Test III,12,c
Magnetism and Our Universe,Assessment Test III,13,a
Magnetism and Our Universe,Assessment Test III,14,b
Magnetism and Our Universe,Assessment Test III,15,b
Magnetism and Our Universe,Assessment Test IV,1,d
Magnetism and Our Universe,Assessment Test IV,2,d
Magnetism and Our Universe,Assessment Test IV,3,b
Magnetism and Our Universe,Assessment Test IV,4,b
Magnetism and Our Universe,Assessment Test IV,5,c
Magnetism and Our Universe,Assessment Test IV,6,d
Magnetism and Our Universe,Assessment Test IV,7,c
Magnetism and Our Universe,Assessment Test IV,8,b
Magnetism and Our Universe,Assessment Test IV,9,d
Magnetism and Our Universe,Assessment Test IV,10,a
Magnetism and Our Universe,Assessment Test IV,11,d
Magnetism and Our Universe,Assessment Test IV,12,b
Magnetism and Our Universe,Assessment Test IV,13,c
Magnetism and Our Universe,Assessment Test IV,14,a
Magnetism and Our Universe,Assessment Test IV,15,d
Heat,Assessment Test I,1,d
Heat,Assessment Test I,2,a
Heat,Assessment Test I,3,b
Heat,Assessment Test I,4,a
Heat,Assessment Test I,5,c
Heat,Assessment Test I,6,d
Heat,Assessment Test I,7,a
Heat,Assessment Test I,8,a
Heat,Assessment Test I,9,a
Heat,Assessment Test I,10,a
Heat,Assessment Test I,11,a
Heat,Assessment Test I,12,c
Heat,Assessment Test I,13,b
Heat,Assessment Test I,14,d
Heat,Assessment Test I,15,d
Heat,Assessment Test II,1,d
Heat,Assessment Test II,2,b
Heat,Assessment Test II,3,a
Heat,Assessment Test II,4,c
Heat,Assessment Test II,5,a
Heat,Assessment Test II,6,d
Heat,Assessment Test II,7,b
Heat,Assessment Test II,8,d
Heat,Assessment Test II,9,a
Heat,Assessment Test II,10,b
Heat,Assessment Test II,11,a
Heat,Assessment Test II,12,d
Heat,Assessment Test II,13,b
Heat,Assessment Test II,14,b
Heat,Assessment Test II,15,b
Heat,Assessment Test III,1,d
Heat,Assessment Test III,2,c
Heat,Assessment Test III,3,b
Heat,Assessment Test III,4,d
Heat,Assessment Test III,5,b
Heat,Assessment Test III,6,c
Heat,Assessment Test III,7,d
Heat,Assessment Test III,8,c
Heat,Assessment Test III,9,c
Heat,Assessment Test III,10,c
Heat,Assessment Test III,11,d
Heat,Assessment Test III,12,d
Heat,Assessment Test III,13,a
Heat,Assessment Test III,14,a
Heat,Assessment Test III,15,b
Heat,Assessment Test IV,1,a
Heat,Assessment Test IV,2,b
Heat,Assessment Test IV,3,a
Heat,Assessment Test IV,4,a
Heat,Assessment Test IV,5,a
Heat,Assessment Test IV,6,d
Heat,Assessment Test IV,7,a
Heat,Assessment Test IV,8,c
Heat,Assessment Test IV,9,d
Heat,Assessment Test IV,10,a
Heat,Assessment Test IV,11,d
Heat,Assessment Test IV,12,b
Heat,Assessment Test IV,13,b
Heat,Assessment Test IV,14,d
Heat,Assessment Test IV,15,d
