Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Footsteps ,,,71,"Read the following statements and select the correct option.
Statement 1 : Lack of availability of good quality seed is the major drawback in fish farming. 
Statement 2 : Breeding fish in ponds using hormonal stimulation has ensured the supply of pure fish seed  in desired quantities. ",Both Statements 1 and 2 are correct,Statement 1 is correct but statement 2 is incorrect,Statement 1 is incorrect but statement 2 is correct,Both statements 1 and 2 are incorrect.,,a,,MCQ
1,Footsteps ,,,72,An example for exotic breed of cow is ,Frieswal,Friesian,Gir,Sahiwal,,b,,MCQ
1,Footsteps ,,,73,Which of the following is a set of bacterial diseases? ,"Cholera, Typhoid, Mumps","Malaria, Mumps, Poliomyelitis","Tetanus, Tuberculosis, Measles","Diphtheria, Leprosy, Plague",,d,,MCQ
1,Footsteps ,,,74,A doctor advised a person to take an injection of insulin because,he was suffering from goitre,his blood pressure was low,his sugar level in blood was high,his heart was beating slowly,,c,,MCQ
1,Footsteps ,,,75,Match the columns and select the correct option. ,"A -(vi), B - (i), C- (ii), D - (vii), E -(iii), F - (v), G -(iv)","A -(vi), B -(v), C (vii), D - (iv), E -(ii), F -(i), G -(iii)","A - (iii), B -(i), C- (vi), D -(vii), E -(ii), F- (v), G - (iv) ","A-(iv), B - (vii), C -(i), D -(v), E -
(ii), F - (vi), G - (iii) ",CH-1-75-ROW-76,a,,MCQ
1,Footsteps ,,,76,Which of the following statements is correct? ,Common cold is not contagious,The common cold virus does not have its own RNA,Common cold usually takes two months to clear up.,The common cold virus can leave the body through the mucus of infected person,,d,,MCQ
1,Footsteps ,,,77,Which among the following cell organelles is able to make its own proteins? ,Lysosome,Golgi apparatus,Plastid,Endoplasmic reticulum ,,c,,MCQ
1,Footsteps ,,,78,Which of the below given statements stands true? ,A person can contract AIDS due to unprotected sexual intercourse with an infected person,Aperson can contract AIDS while getting permanent tattooing with an infected needle.,A person cannot contract AIDS by donating blood to a HIV infected person.,all of these,,d,,MCQ
1,Footsteps ,,,79,"Which of the following statements is correct regarding protective tissue, epidermis?","In desert plants, epidermis has a waxy coating of Cutin on its outer surface to reduce transpiration",The epidermis of the leaf contains small pores called stomata that help in the exchange of gases,The epidermis of the root contains long hair-like structures that help to increase surface area for absorption of water. ,all of these,,d,,MCQ
1,Footsteps ,,,80,Which of the following is mismatch?,Leprosy Bacterial disease,AIDS - Bacterial disease,Malaria - Protozoan disease,Elephantiasis - Helminthic disease,,b,,MCQ
1,Footsteps ,,,81,CFCs are compounds of carbon which have,fluorine and chlorine,fluorine and chromium,iron and chlorine,iron and chromium,,a,,MCQ
1,Footsteps ,,,82,Which of the following are protozoan diseases that are transmitted by mosquito vectors? ,Filariasis and typhus,Kala-azar and diphtheria,Malaria and kala-azar,Yellow fever and dengue fever,,c,,MCQ
1,Footsteps ,,,83,The body is covered by an epidermal of feathers in,Columba,Hyla,Naja,Equus,,a,,MCQ
1,Footsteps ,,,84,Which of the following is not a chondrichthyes?,Scoliodon,Sting ray,Hippocampus,Torpedo,,c,,MCQ
1,Footsteps ,,,85,Ozone layer of atmosphere protects the living organisms  from,high temperature,harmful radiations of sun,hail and snow,water pollution.,,b,,MCQ
1,Footsteps ,,,86,Select the incorrect match,Nematocyst -> Sycon,Flame cells -> Fasciola,Green gland -> Prawn,Setae -> Earthworm,,a,,MCQ
1,Footsteps ,,,87,"Identify the given organisms (P-T) and select the incorrect statement regarding them. 
i) Organisms P, Q and T show tissue level of body organisation. 
ii) Organisms P, S and T are triploblastic animals. 
iii) Organisms R, S' and T are eucoelomates. 
iv) Organisms P, R, S and T possess notochord at some stage of their life. ",(i) and (iii) only,"(i), (ii), and (iv) only",(i) and (ii) only,"(i), (ii) and (iii) only",CH-1-87-ROW-88,b,,MCQ
1,Footsteps ,,,88,"Which cell organelle is known as ""powerhouse of the cell""?",Mitochondria,Lysosome,Golgi apparatus,Endoplasmic reticulum,,a,,MCQ
1,Footsteps ,,,89,Which plant leaves have a parallel venation? ,Peepal leaves,Hibiscus leaves,Banana leaves,Banyan leaves,,c,,MCQ
1,Footsteps ,,,90,"The common component of membrane of organelles like mitochondria, endoplasmic reticulum and nucleus is",glycolipid,glycoprotein,nucleoprotein,lipoprotein,,d,,MCQ
