ChapterName,TestNumber,QuestionNumber,QuestionDescription,Option1,Option2,Option3,Option4,Image?
Measurements and Kinematics,Assessment Test II,13,"A cyclist moves the first-half of the distance with 10 km-1 speed and the second-half of the distance with speed V km h-1. If the average speed of the cycle is 15 km-1 , then the value of V  is ________km h-1  ",5      ,15      ,20      ,30      ,
Measurements and Kinematics,Assessment Test II,14,"A body is moving in a stright path, Then,",its instantaneous speed is equal to its instantaneous velocity,its average speed is equal to its average velocity,its acceleration is equal to change in its velocity,Both (a) and (b),
Measurements and Kinematics,Assessment Test II,15,"A person starts from his house on his bike at 9.a.m and returns to his house and at 8.p.m. If the odometer reading at 9 a.m. is 4700 km and the average speed of the bike is 20 km h-1, then the odometer reading of the bike at 8p.m is km.",4900,4920,4970,4810,
Measurements and Kinematics,Assessment Test III,1,Which of the following physical quantities has Candela as its unit ?,Amount of substance ,Temperature,Luminous intensity,Electric current,
Measurements and Kinematics,Assessment Test III,2,What is the least count of a vernier caliper whose 1 M.S.D is 1mm and 20 V.S.D. = 19mm,0.1 mm,0.01 mm,0.05 mm,05. mm,
Measurements and Kinematics,Assessment Test III,3,Which of the following is true with respect to standard vernier calipers?,N vernier scale divisions = (N-2) main vernier scale divisions.,N vernier scale divisions = (N +1) main vernier scale divisions.,N vernier scale divisions = (N -1) main vernier scale divisions.,N vernier scale divisions = (N ) main vernier scale divisions.,
Measurements and Kinematics,Assessment Test III,4,"If the relative density of ice is 0.9, its density is ________ kg m-3",0.9,900,9000,9,
Measurements and Kinematics,Assessment Test III,5,"When 20 drops of a liquid are drained from a burette, the initial and final volumes of the liquid are found to be 10 mL and 50 mL, respectively. What is the volume of 1 drop of the liquid ?",0.5 mL,1mL,4 mL,2 mL,
Measurements and Kinematics,Assessment Test III,6,The unit of pressure is pascal in SI system. If 1 pascal is equal to 1 kg m-1s-2.,10,100,1000,1,
Measurements and Kinematics,Assessment Test III,7,"Match the statements of Column A with those of Column B.
(A) Length                    (p) ampere
(B) Electric current      (q) year
( C) Time                      (r ) mile",A →q; B→p; C→r;,A→p; B→q; C→r,A→r; B→p; C→q,A→q; B→r; C→p,
Measurements and Kinematics,Assessment Test III,8,"An object of volume 100 cm3 and another of volume 150 cm3, when placed on either sides of a physical balance, balance each other. Find the ratio of their densities.",03/May,03/Feb, 1/5,01/Feb,
Measurements and Kinematics,Assessment Test III,9,Find the area of shaded region in the figure given below.,11.86 cm2,9.8 cm2,17.232,23.812,X
Measurements and Kinematics,Assessment Test III,10,"The viscous force in case of a liquid is given by, F-nA v/x. Where A=area, v = velocity, x= distance and n is a constant. What is the unit of n?",N m s-1,N m-2  s-1,N m-2 s,N m3  s-1,
Measurements and Kinematics,Assessment Test III,11,"A cylinder of unknown radious was held between the lower jaws of a vernier caliper. The main scale is divided into milimeters and vernier scale has 20 divisions. 
The vernier coinciding division is 16. If the zeroth divison of the vernier scale lies between 12.3 cm and 12.4 cm of the main scale, the radious is ______mm.",41.9,61.9,81.8,88.5,
Measurements and Kinematics,Assessment Test III,12,"The SI unit of a physical quantity is kg m s-2,  then the ratio of SI and CGS unit of the quantity is______.",14/Apr,105,102,105,
Measurements and Kinematics,Assessment Test III,13,"If the principle used to construct a vernier caliper is N V.S.D = (N-2) M.S.D., its least count is _______mm. (1M.S.D = 1mm and N =10)",0.1,0.01,0.2,0.3,
Measurements and Kinematics,Assessment Test III,14,"When an object is immersed into water, the volume of the water displaced is 200 cm3. What is the relative density; if the mass of the object is 400 g?",2,0.5,40,8,
Measurements and Kinematics,Assessment Test III,15,"When an object is placed between the jaws of a vernier caliper, the zero of the vernier scale is found to be on the right of 7th division of the main scale. The 8th division of the vernier scale is found to coincide with one of the divisions of main scale. Arrange the following steps in sequential order to determine the length of the object. [1M.S.D.= 1mm, number of V.S.D=10]
(A) Dertermine the length of the object.
(B) Use the formula M.S.R + V.C.D x L.C
(C) Note the M.S.R., V.C.D., 1 M.S.D. and number of V.S.D.
(D) By using the information given determine the least count.",ACBD,CDBA,DBCA,ACDB,
Measurements and Kinematics,Assessment Test IV,1,The speedometer of a vehicle indicates its __________.,instantaneous speed,average speed,instantaneous velocity,average velocity.,
Measurements and Kinematics,Assessment Test IV,2,Calculate the value of 5 m s-1 in km h-1.,10,1.38,18,3.6,
Measurements and Kinematics,Assessment Test IV,3,"If a body is moving with uniform velocity, then its acceleration is ________.",uniform,negative,positive,zero,
Measurements and Kinematics,Assessment Test IV,4,The slope of displacement-time graph is________.,velocity,speed,acceleration,distance,
Measurements and Kinematics,Assessment Test IV,5,"Asseration (A) : Velocity is a vector.
Reason ( R) Velocity has both magnitude and direction.",A and R are true and R is the correct explanation of A,"A and R are true, R is the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Measurements and Kinematics,Assessment Test IV,6,"Match the statements of Column A with those of Column B.
(A) Uniform velocity Derived quantity             (a) Total distance / time
(B) Average speed                                              (b) m s-2
( C) Average velocity                                         (c) Acceleration is zero
(D) Acceleration                                                 (d) Ratio of toal displacement to total time taken",A→c;  B→a;  C→d;  D→b,A→a;  B→c;  C→b;  D→d,A→c;  B→a;  C→b;  D→d,A→a;  B→b;  C→c;  D→d,
Measurements and Kinematics,Assessment Test IV,7,A car starts from rest and moves along a straight line with an acceleration of 6 m s-2. The displacement of the car in forth second is _________m.,48,21,0,20,
Measurements and Kinematics,Assessment Test IV,8,8 m towards west and then moved 13 m  towards east. What is the total distance travelled and the magnitude of displacement ?,8 m and 8 m,21 m and 5 m,21 m and 8 m,21 m and 13 m,
Measurements and Kinematics,Assessment Test IV,9,"A person on a rotating platform of radious7m, makes 3 ritatuibs 10 4 min. What is the magnitude of the displacement of the person (in m) ?",28,0,14,176,
Measurements and Kinematics,Assessment Test IV,10,A boy kicks a football horizontally from the end roof of a building of height 6m. If the line joining the initial position ,6,6,,,
Measurements and Kinematics,Assessment Test IV,11,A car moving with a constant acceleration covers 24 m in 4 s and 21 m in the next 2 s. What is the initial velocity of the car ?,3 km h-1,3 m s-1,1.5 km h-1,1.5 m s -1,
Measurements and Kinematics,Assessment Test IV,12,"A car starts moving with uniform acceleration form its position of rest and it moves 100m in 10 s. On applying brakes, it stops after covering 50 m. Then magnitude of acceleration in the second part of its motion is ________.",20,200,40,4,
Measurements and Kinematics,Assessment Test IV,13,which of the following graphs is impossible with respect to velicity-time graph?,x,x,x,x,x
Measurements and Kinematics,Assessment Test IV,14,A passenger is at a distance 10 m from a bus when the bus starts with a constant acceration of 0.1 m s-1. The velocity with which the passenger should run towards the bus so as to catch the bus in 30 s is ________.,2.5 m s-1,2 m s-1,3.5 m s-1,1.83 m s-1,
Measurements and Kinematics,Assessment Test IV,15,"Starting from rest a car moves with a uniform acceleration and attains a velocity of 10 m s-1 in 10 s. It then moves with uniform speed for 15 s and is then brought to rest in 12 s under uniform retardation. Arrange the following steps in sequential order to find the total distance covered using v-t graph.
(A) Add the area of traingles and rectangles
(B) Find the area under traingles and rectangles.
(C) Draw the velocity-time graph by using the information given in the question.
(D) Divide the graph into triangles and rectangles.",ACBD,CDAB,BACD,CDBA,
Measurements and Kinematics,Assessment Test V,1,Which of the following is the SI unit of luminous intensity ?,Gram,Mole,Candela,Kelvin,
Measurements and Kinematics,Assessment Test V,2,"Determine the number of vernier scale divisions required for a vermier caliper, so that the least count is 0.05 mm (I M.S.D.= 1 mm)",40,30,10,20,
Measurements and Kinematics,Assessment Test V,3,Which of the following is incorrect with respect to a standard vernier caliper ?,L.C = 1 M.S.D/N,L.C= 1M.S.D.- 1 V.S.D,L.C= 1 M.S.D/ 1 V.S.D,1 M.S.D.=1mm,
Measurements and Kinematics,Assessment Test V,4,"If the relative density of iron is 5, its density is ________ g cm-3.",5,5000,500,50000,
Measurements and Kinematics,Assessment Test V,5,"The volume of a drop of a liquid is 0.3 mL. When 30 drops of the liquid are drained, the level of the liquid in the burrette is found to be 50 mL. What is the initial level of the liquid ?",150 mL,59 mL,50 mL,200 mL,
Measurements and Kinematics,Assessment Test V,6,The unit of momentum is SI system is kg m s-1. Then 1 SI unit of momentum is equal to ________ CGS unit of momentum.,10 2,10 3,10 4,10 5,
Measurements and Kinematics,Assessment Test V,7,"Match the statements of Column A with those of Column B.
(A) amu                       (p) foot
(B) Time                      (q) unit of mass
( C) Length                  ( r) day",A→p;  B→q;  C→r,A→r;  B→p;  C→q; ,A→q;  B→r;  C→p,A→p;  B→r;  C→r,
Measurements and Kinematics,Assessment Test V,8,"When two objects A and B are separately dropped into the water, the volume of water displaced is found to be the same. What is the ratio of the densities; if the masses of A and B are in the ratio 2:3, respectively ?",02:03,03:02,03:01,01:03,
Measurements and Kinematics,Assessment Test V,9,Find the area of unshaded region in the figure given below,85.3 cm2,64.3 cm2,175.5 cm2,108.3cm2,
Measurements and Kinematics,Assessment Test V,10,"The expression for a physical quantity is T/µ, where T= Force and µ=mass/length. What is the physical quantity ?",mass,speed,time,distance,
Measurements and Kinematics,Assessment Test V,11,"1 M.S.D. of a vernier caliper is 1 mm and number of vernier scale divisions is 40 and the vernier coinciding divisioin is 28. What is the length of the object, if zeroth division of the vernier scale lies between 11.2 cm and 11.3 cm?",1137,112.7,142.8,11.3,
Measurements and Kinematics,Assessment Test V,12,"The SI unit of a quantity is kg m2, its CGS unit is __________.",g cm2,g cm-2,g-1 cm-2,g-1 cm3,
Measurements and Kinematics,Assessment Test V,13,"The number of vernier scale division choosen in a vernier calipers in 10, 1 M.S.D.= 1 mm, and the least count is 0.3 mm, then the principle used to design the vernier caliper is _______",(N) V.S.D.= (N-1) M.S.D.,(N) V.S.D = (N-2) M.S.D,(N) V.S.D = (N-3) M.S.D,(N) V.S.D = N  M.S.D,
Measurements and Kinematics,Assessment Test V,14,"When an object floats on the surface of a liquid, half of the volume is immersed into the liquid. If the volume of the liquid displaced by it is 500 cm3 and mass of the object is 500 g, determine the density of the liquid.",1 g cm-3,0.5 g cm-3,2 g cm-3,4 g cm-3,
Measurements and Kinematics,Assessment Test V,15,"The length of an object measured by using a vernier caliper is 6.3 mm. If the V.C.D.=3, 1 M.S.D.= 1mm and N =10, arrange the following steps to determine the main scale reading in proper sequence.
(A) Use the formula, length= M.S.R.+ V.C.D x L.C.
(B) Determine the lease amount.
(C) Note the values of V.C.D., M.S.D AND number of vernier scale divisions.
(D) Determine the M.S.R.",BACD,CBAD,ACBD,BCAD,
Measurements and Kinematics,Assessment Test VI,1,The odometer of a car measure its ________.,speed,distance,displacement,Both (b) and ©,
Measurements and Kinematics,Assessment Test VI,2,18 km h-1 = ________ms-1.,18,5,18000,0.018,18
Measurements and Kinematics,Assessment Test VI,3,"If a body is moving with an increasing velocity, then its acceleration is",negative,positive,zero,None of the above,
Measurements and Kinematics,Assessment Test VI,4,Slope of velocity-time gives __________.,velocity,displacement,speed,acceleration,
Measurements and Kinematics,Assessment Test VI,5,"Assertion(A): Times is a scalar quantity.
Reason ®: Time has both magnitude and direction.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A",A is true but R is false.,Both A and R are false.,
Measurements and Kinematics,Assessment Test VI,6,"Match the statements of Columnn A with those of Column B.
(A) Area under acceleration-time graph              (a) Velocity
(B) Area under velocity-time graph                     (b) Acceleration
 ( C) Slope of velocity-time graph                        (c) Displacement.
",A→a;  B→c;  C→b,A→b;  B→c;  C→b,A→c;  B→a;  C→b,A→c;  B→a;  C→c,
Measurements and Kinematics,Assessment Test VI,7,"If a bus starts from rest, moving along a straight line and travelling with an acceleration of 8 ms-2 then the displacement in the third second is _________m.",3.1,0.32,20,None,
Measurements and Kinematics,Assessment Test VI,8,A particle moved 10 m towards east and then moved 10 m towards north. The magnitude of the displacement and the total distance covered are ______and _________ respectively.,"10√2m, 20m","20m, 20m","20m,10√2m","10m, 20m",
Measurements and Kinematics,Assessment Test VI,9,A person on a merry-go-round of radious 7 m makes 1 1/2 rotations in 4s. What is the average velocity of the person (in ms-1) ?,14,16.5,3.5,3,
Measurements and Kinematics,Assessment Test VI,10,"A boy kicks a football from the top of a building of height  10m. If the line joining the initial position of the football and point where it hits the ground makes an angle of 450 with the ground, then find ",10√2m,20 m,10(1+√2)m,10 m,
Measurements and Kinematics,Assessment Test VI,11,A car moving with constant acceleration of 15 m s2 covers x m in 4 s and 21 m in the next 2 s. The initial velocity of the car is 3 m s-1 . Caluculate the value of x .,2.4 m,24 cm,24 m, 24 cm,
Measurements and Kinematics,Assessment Test VI,12,The velocity-time graph of a body is shown below. Which among the following is the displacement time graph of the body.,x,x,x,x,x
Measurements and Kinematics,Assessment Test VI,13,"A car starts moving with a uniform acceleration from its position of rest and it moves 24 m in 3s. On applying brakes, it stops after covering a distance d. What is the value of d, if its decelrationis 50/9 m s-2", 50/9 m,10 m,20 m,40 m,
Measurements and Kinematics,Assessment Test VI,14,A person is at distance of d m from a bus when the bus starts with a uniform acceleration and attains a velocity of 0.5 m s-2 . The velocity with which the person should run towards  the bus is 1.5 m s-1 to catch the bus in 40s. Find the value of d.,50 m,10 m,20 m,40 m,
Measurements and Kinematics,Assessment Test VI,15,"Starting from rest, a car moves with a uniform acceleration and attains a velocity of 20 m s-1 in 5 s. It thenmoves with a uniform speed for 10 s and is then brought to rest in t seconds under uniform retardation. Arrange the following steps to find t using a v=t graph, if total distance covered is 380m.
(A) Add the area of triangle and rectangle.
(B) Find the area under traingles and rectangle.
(C) Draw the velocity-time graph by using the information given in the question.
(D) Divide the graph into triangles any rectangles.",ACBD,CDBA,CBDA,CABD,
Dynamics,Assessment Test I,1,"Arrange the following steps in sequential order to find the shift in the height of centre of gravity, when a rectagular lamina resting on the longer side is rotated by 900 in vertical plane.
(A) When the rectanugla lamina is resting on longer side, the height of centre of gravity (h) is equal to half of the breadth (b/2) of the rectangel.
(B) Let the dimensions of the rectangular lamina be length (l) and breadth (b).
(C) When the rectangular lamina is rotated by 900 in the vertical plane, it is resting on the shorter side (breadth).
(D)  The shift in the position of centre of gravity is equal to the difference in h and h'
(E)  When the rectangular lamina is resting on the shorter side, the height of centre of gravity (h') is equal to half of the length (l/2) of the rectangle.",BACED,BEDAC,BCADE,BECAD,
Dynamics,Assessment Test I,2,"The velocity of a body changes from xms-1 to  yms-1 in t s under the action of constant external force. Arrange the following steps in sequential order to calculate the magnitude of external froce acting on the body.
(A) Determine the change in velocity , (y-x) ms -1.
(B) The magnitude of external force acting on the body is x(y-x)/t N.
(C) Let m be the mass of the body
(D) The rate of change in velocity is acceleration of the body, that is, (y-x/t) ms-2 .",CADB,DCAB,BCAD,ABCD,
Dynamics,Assessment Test I,3,"Match the statements of Column A with those of Coloumn B.
(A) Frictinla force between hightly                                                                (a) Outside th body
(B) Interaction between protons and neutrons                                                (b) Increases
(C ) Centre of gravity of an annular ring                                                         (c) Decreases
(D) When a person standing on a swing sits, the height of centre of gravity      (d) Nuclear forces
                                                                                                                     (f) Electromagnetic forces",A→ c; B→f; C→e; D→b;,A→ b; B→f; C→e; D→c;,A→ b; B→d; C→a; D→c;,A→ b; B→d; C→ e; D→ c;,
Dynamics,Assessment Test I,4,"Assertion (A): The work done by the gracity on an ascending body is negative.
Reason (R ): The displacement and gravitational force are opposite in direction.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Dynamics,Assessment Test I,5,"Assertion (A): When a person swims, he pushes the water in the same direciton as his motion.
Reason (R ): Both action and reaction act on the same body.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Dynamics,Assessment Test I,6,"To make two bodies A and B experience an equal acceleration, forces 6N and 4 N are applied, respectively. If the bodies are combined, then to produce the same acceleration, the force applied should be ____________ N.",1,3,6,10,
Dynamics,Assessment Test I,7,Weightlessness is experienced by ____________,a person durng his free fall,astronauts on moon,a person who experiences reation force,a person during climbing a hill,
Dynamics,Assessment Test I,8,"If a mass of a body is increase by 20%, then the momentum of body remains same, if the velocity approximately________",decreased by 17%,increased by 17%,decreased by 83%,increased by 32%,
Dynamics,Assessment Test I,9,"Two spheres moving in opposite direction along a stright line can interchange their velocities on colliding with each other, if ________",the magnitudes of their velocities before collision are equal.,their masses are equal,their momenta before collision are equal.,their accelerations are equal.,
Dynamics,Assessment Test I,10,"A ball of mass 200 g moving with a speed of 2ms-1 hits a wall normally and bounces back with the same speed. If the ball is in contact with the wall for 2 millisecond, the force exerted on the ball is _________ N.",200,400,600,800,
Dynamics,Assessment Test I,11,"To lift a body vertically up from the surface of the Earth through a certain height, 20 J of work is required. If the same body is lifted uup vertically through an equal height on the surface of the Moon, then the work required is _________ J.
g moon= g earch/6",2.22,3.33,4.44,5.65,
Dynamics,Assessment Test I,12,A rod of 4m length is bent in the form of a square. What is the distance of the centre of gravity to any one of the vertices (in m)?,1,01/Jan, 1/2, 1/3,
Dynamics,Assessment Test I,13,"A load of 10 kg weight is suspended at one end of a lever which is pivoted on a fulcrum at the other end, as shown in the given figure. What should be the effort (P) (in N), if we apply the effort at the centre of lever to balance it? (g = 10 m s-2) ",200,300,400,500,X
Dynamics,Assessment Test I,14,"If a body of mass 5 kg is dragged along the frictinless inclined plane shown in the figure, then the effort (p) required to drag the body is ____________ (g=10 m s-2)",3X106 dyne,30 dyne,3N,3X102 N,X
Dynamics,Assessment Test I,15,"What is the efficiency of the pulleys, if the pulleys used in following system are frictionless and the string used is massless?",0.8,1,0.5,0.25,X
Dynamics,Assessment Test II,1,"Arrange the following steps in proper order to find the height of centre of gravity from the base of an equilateral triangular lamina.
(A) Centroid divides the median in the ration 2:1, so divide the median in the ration 2:1 and find the length of the two parts.
(B) Find the height of the median using Pythagoras therorem.
(C) Divide the equilateral triangle into two right angel triangles by drawing a median on its base.
(D) Centre of gravity of an equilateral triangular lamina lies at its centroid.
(E) The height of centroid from the base gives the height of centre of gravity from the base of the triangle.",BCDEA,DABCE,DBCEA,DCBAE,
Dynamics,Assessment Test II,2,"A crow bar of length 1.5m is used to lift a load of 75 kg weight by placing  the fulcrum at a distance of 20 cm from the load . Arrange the following steps is sequential order to find the effort (in N) applied on the crow bar to lift the load.
(A) Substitute the values in the law of levers, i.e., load x load arm = effort x effrot arm.
(B) The distance between the load and the fulcrum is taken as load arm.
(C) Convert the load into newton by multiplying with g and convert the length of crow bar into cm.
(D) By substracting the load arm from the length of the crow bar, we will get the length of effort arm.
(E) Determine the effort, i.e. Effort = load x loar arm / effort arm",CDABE,CADBE,CBDAE,ADCBE,
Dynamics,Assessment Test II,3,"Match the statements of Column A with those of Coloumn B.
(A) Stream linging of bodies                                                            (a) Neutral equilibrium
(B) Centre of gravity of boomerang                                                  (b) Within the body
(C ) A cylindrical vessel resting on a cruved surface                          (c) Friction is removed
(D) Centre of gravity of a solid right circular cone resting on its base (d) Minimized friction
                                                                                                       (e) Outside the body
                                                                                                       (f) Unstable equilibrium",A→ c; B→c;  C→f;  D→b;,A→ d; B→c; C→a; D→b;,A→ d; B→b; C→f; D→e;,A→ c; B→c; C→b; D→f;,
Dynamics,Assessment Test II,4,"Assertion (A) : Work done by a force acting on a body towards the centre of a circular path is zero.
Reason (R ): The direciton of force is perpendicular to its displacement.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Dynamics,Assessment Test II,5,"Assertion (A) : When a person steps out of a boat, the boat moves bacwards.
Reason (R ) : The reation force acting on the boat is in the opposite direction to the direction of movement of the person.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Dynamics,Assessment Test II,6,"A force can produce an acceleration of 2m s-2 and 6 m s-2 on bodies A and B, respectively, when applied individually. What is the acceleration produced (in m s-2), if the bodies are combined and the same force is applied?",1..0,1.5,3..0,6..0,
Dynamics,Assessment Test II,7,"Consider the Moon and an artificial satellite of earth, Weightlessness is experienced by a person _________",on the moon as well as the artificial satellite.,only in the artificial satellite.,only in the moon,neither on the moon nor in the artificial satellite ,
Dynamics,Assessment Test II,8,"What is the percentage change in the momentum of the body, if the mass of a body is doubled and its velocity is redued by half?",0%,10%,50%,100%,
Dynamics,Assessment Test II,9,"Two bodies A and B moving towards each other along a straight line, coalesce after collision. The system will move in the initial direction of A, if ________.",the velocity of A is more than the that of B before collision ,mass of A is more than that of B.,acceleration of A is more than that of B,the momentum of A is more than that of B before collision.,
Dynamics,Assessment Test II,10,"A body 'A' of mass 5 kg moving with velocity of 5 ms-1 collides with a body B initially at rest and bounces back along same line with a velocity of 2 ms-1 What is the force exerted on body B by A (in N), if the collision takes place for 0.1 milli second?",20 x 104,30 x 104,35 x 104,40 x 104 ,
