Select a pure substance,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,16,Synthetic fibres are,Rayon and Cotton,"Nylon, Polyester and Jute","Rayon, Nylon, and Polyester",None of these,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,17,Correct full form of abbreviation PETE is,Polyethylene terephthalate,Polyethane terephthalate,Polyethene terephthalate,None of these,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,18,Which of the following synthetic fibre is good absorbent?,Nylon,Rayon,Polyster,Acrylic,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,19,Which of the following is thermosetting plastics?,Polyvinyl chloride,Polyester,Polypropylene,Bakelite,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,20,Polycot is obtained by mixing,polyester and cotton,polyester and wool,cotton and wool,None of these,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,21,The first man made fibre is,Nylon,Polyester,Rayon,Cotton,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,22,The plastics which do not remould again on heating are called,Thermmosetting plastics,Thermmoplast plastics,Both of these,None of these,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,23,Which of the following groups contain all synthetic substances?,"Nylon, Terylene, Wool","PVC Polythene, Bakelite","Cotton, Polycot, Rayon","Acrylic, Silk. Wool",,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,24,The polymer formed by condensation of adipic acid and hexamethylene diamine is,isoprene,rayon,terylene,"nylon-6, 6",,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,25,Thermosetting plastic is:,Polythene,PVC,Bakelite,Polypropene,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,26,Lens of Spectacles are made from :,Soft glass,Hard glass,Pyrex glass,Flint glass,,d,,MCQ
1,Synthetic Fibres and Plastics,Morethan one Option Correct,,1,Plastics ,are organic material of high molecular weight,are polymers having long chains,are made by the process of polymerisation,only (a) and (b) are correct,,"a,b,c",,MAQ
1,Synthetic Fibres and Plastics,Morethan one Option Correct,,2,Pick out natural fibres out of the following ?,Cotton,Jute,Nylon,Wool,,"a,b,d",,MAQ
1,Synthetic Fibres and Plastics,Morethan one Option Correct,,3,Which of the following are thermoplastic polymer?,Melamine,PVC,Polythene,Nylon,,"b,c,d",,MAQ
1,Synthetic Fibres and Plastics,Morethan one Option Correct,,4,Which of the following is/are common properties of plastics?,Non-reactive,Durable,Light in weight,Good conductor of electricity,,"a,b,c",,MAQ
1,Synthetic Fibres and Plastics,Morethan one Option Correct,,5,Which of the following is/are synthetic fibres?,Angora,Rayon,Nylon,Polyester,,"b,c,d",,MAQ
1,Synthetic Fibres and Plastics,Assertion - Reason,,1,"Assertion : Clothes made up of synthetic fibre are unsuitable for hot and humid weather.
Reason : Synthetic clothes do not breathe so well",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,2,"Assertion : Bakelite is used for making electric switches and plugs
Reason : It is a thermosetting polymer and an insulator",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,3,"Assertion : Acrylic fabrics are used in making socks amd shawls
Reason: Acrylic fabrics are replacement of wool.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,4,"Assertion : Plastics are non-biodegradable.
Reason : They cannot be decomposed by microorganisms.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,5,"Assertion : Synthetic fibres are polymers that are synthesised by human beings by chemical process.
Reason : Polymers occur in nature also.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,b,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,6,"Assertion : Nylon is used for making rock climbing ropes, parachutes, car seat belts and fishing nets.
Reason : Nylon is a very strongfibre.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,7,"Assertion : Handles of utensils are made up of themoplastics 
Reason : Thermoplastics get soften on heating.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,d,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,8,"Assertion : Plastic being light in weight and easy to handle is used as a substitute for glass and metal.
Reason : We should avoid plastics as far as possible",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,b,,AR
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,1,"Which of the following statements, is not correct, about glass.",Because of its high viscosity glass exists in solid state,There is no definite melting point for glass.,The silicate units in glass are arranged in a way that is quite similar to the arrangement found in liquids,Glass is a solid because it has a regular crystalline arrangement.,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,2,One of the properties of glass is its transparency. This property of glass is due to,its high viscosity,regular arrangement of silicate units in glass,irregular arrangement of silicate units in glass,its high coefficient of thermal expansion,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,3,Which of the following polymers do not involve cross linkages?,Melmac,Bakelite,Polylite,Vulcanised rubber,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,4,"Natural rubber is soft but vulcanized rubber is hard. 
Vulcanised rubber also resists.",Drops of acid rain,Cold temperatures,Jerking movements,wear and lear due to friction,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,5,"When glass is heated, it",does not melt at a fixed temperature,vapourise,melts only above 1000^0&C,None of these,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,6,Glass is a transparent substance obtained by heating silica with oxides or carbonates of metals. Glass is a mixture of ,Phosphates,Sulphates,Oxides,Silicates,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,7,Ebonite is,Natural rubber,synthetic rubber,Highly vulcanized rubber,Polypropene,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,8,Among the following polymers the strongest molecular forces are present in,Elastomers,Fibres,Themoplastics,Thermosetting polymers,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,9,Three dimensional molecular structure with cross links are formed in the case of a,thermoplastic,thermosetting plastic,Both (a) and (b) ,None of these,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,10,Which of the following is a cross linked polymer?,PVC,Bakelite,Polythylene,Rubber,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,11,Which of the following statements is false?,Artificial silk is derived from cellulose.,Nylon-66 is an example of elastomer.,The repeat unit in natural rubber is isoprene.,Both starch and cellulose are polymers of glucose.,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,12,Which of the following polymer is used for making phonograph records?,Bakelite,Dacron,Teflon,PVC,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,13,"Which of the statements about glass are correct?
1.  glass is a super-cooled liquid having infinite viscosity.
2.  Violet coloured glass is obtained by adding MnO~2*
3.  glass is a man-made silicate.
4.  glass is a crystalline substance
Select the correct answer using the codes given below.","1, 2 and 4","2, 3  and 4","1, 2 and 3",1 and 3,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,14,The major component used in preparation of different types of glasses is,Silica,Sodium Borate,Calcium silicate,Sodium silicate,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,15,The commercial name of polyacrylonitrile is ______,Dacron,Orlon (acrilan),PVC,Bakelite,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,16,Natural rubber has,all cis-configuration,all trans-configuration,altermate cis-and trans-configuration,random cis-and trans-configuration,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,17,"Regarding eross-linked or network polymers, which of the following statements is incorrect?",They contain covalent bonds between various linear polymer chains.,They are formed from bi- and tri-functional monomers.,They contain strong covalents bonds in their polymer chains,Examples are bakelite and melamine,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,18,Which of the following is a thermosetting polymer?,Bakelite,Buns-N,Nylon 6,PVC,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,19,The biodegradable polymer is:,"nylon-6, 6",nylon 2-nylon 6,nylon-6,Buna-S,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,20,Which of the following is a natural polymer?,poly (Butadiene-styrene),polybutadiene,poly (Butadiene-acrylonitrile),"cis-1, 4-polyisoprene",,d,,MCQ
1,Synthetic Fibres and Plastics,Morethan one Optioon Correct,,21,Alkali silicate glass,is also called silicate glass,is also called water glass,is generally used to make gums and adhesives.,None of the above is correct,,"a,b,c",,MAQ
1,Synthetic Fibres and Plastics,Morethan one Optioon Correct,,22,Which statement(s) is/are correct for silica glass?,For it the raw material used is 100% quartz,It is quite cheap.,Its softening point is very high.,It has a very high thermal expansion.,,"a,c",,MAQ
1,Synthetic Fibres and Plastics,Morethan one Optioon Correct,,23,In the manufacture of lead glass,oxide of lead is added to ordinary glass,oxide of lead increases the density of glass,oxide of lead increases the refractive index of glass,none of the above is corTect,,"a,b,c",,MAQ
1,Synthetic Fibres and Plastics,Morethan one Optioon Correct,,24,Vulcanisation of rubber,involves heating of natural rubber with sulphur,improves strength and elasticity of natural rubber to a great extent,increases the tensile strength of natural rubber,results in cross - linking of rubber molecules.,,"a,b,c,d",,MAQ
1,Synthetic Fibres and Plastics,Morethan one Optioon Correct,,25,Which of the following statements is not true about low density polyethene?,Tough,Hard ,Poor conductor of electricity,Highly branched structure,,b,,MAQ
1,Synthetic Fibres and Plastics,Morethan one Optioon Correct,,26,Vulcanised rubber,is natural rubber heated with sulphur,can be used in the range of 45^0& to 110^0&C,can be used in the range of 10-60^0&C,natural rubber is heated with silicon.,,"a,b",,MAQ
1,Synthetic Fibres and Plastics,Assertion - Reason,,30,"Assertion : Glass is an amorphous solid.
Reason: Its molecules are randomly arranged",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,31,"Assertion : For silica glass the raw material used is 100% pure form of quartz.
Reason : Silica glass is very expensive.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,b,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,32,"Assertion : Rayon is a semisynthetic polymer whose properties are better than natural cotton.
Reason Mechanical and aesthetic properties of cellulose can be improved by acetylation.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,1,Which of following represents the correct order of increasing chemical reactivity?,Fe > AI > Zn > Mg,Mg > Zn > Al > Fe,Mg > Al > Zn > Fe,Al > Mg > Zn > Fe,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,2,"Generally non-metals are non conductor of electricity.
Which of the following is an exception?",Diamond,Graphite,Sulphur,Nitrogen,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,3,Galvanisation 2. is a method of protecting iron form rusting by coating with a thin layer of,Gallium,Silver,Aluminium,Zinc,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,4,For vulcanization of rubber we use which one of the following non-metals?,Sulphur,Phosphorus,Chloride,Carbon,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,5,"Substances which are used to extract met:als commercially and economically, known as",Minerals,Ores,Metal oxides,None of these,,b,,MCQ
2,Materials: Metals and Non-Metals,Assertion - Reason,,1,"Assertion : Zinc is found in free state in nature.
Reason : Zinc is a reactive metal.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,d,,AR
2,Materials: Metals and Non-Metals,Assertion - Reason,,2,"Assertion : A solution of SO~2* in water turn blue litmus red.
Reason : Sulphur dioxide is acidic oxide.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
2,Materials: Metals and Non-Metals,Assertion - Reason,,3,"Assertion : Ferrous sulphate can be kept in copper vessel.
Reason : Copper is less reactive than iron.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
2,Materials: Metals and Non-Metals,Assertion - Reason,,4,"Assertion: Most of the metals can be drawn into, wires.
Reason: This property of metals is called malleability.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,c,,AR
2,Materials: Metals and Non-Metals,Assertion - Reason,,5,"Assertion : A piece of zinc is placed in ferrous sulphate, solution becomes colourless.
Reason : Displacement reaction takes place and zinc goes into the solution.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
2,Materials: Metals and Non-Metals,Fill in the Blanks,,1,Metals combine with oxygen to form ________ oxides,Basic,,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,2,Metals above hydrogen in the activity series can displace _______ from dilute acids.,Hydrogen,,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,3,____________ is a non-metal that is a good conductor of electricity,Graphite (A form of Carbon),,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,4,___________ is a non-metal that is lustrous,Graphite (A form of Carbon) or Iodine,,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,5,lodine is used as an antiseptic in the form of __________ Solution,Alcoholic,,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,6,The chief ore of iron is ____________,Haematite,,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,7,The black part of a pencil is made of ___________,Graphite,,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,8,___________ a metal that exist as a liquid at room temperature,Mercury,,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,9,Liquid ___________ is used to preserve donated organs,Nitrogen,,,,,,,FIB
2,Materials: Metals and Non-Metals,Fill in the Blanks,,10,"Copper corrodes in the presence of ____________, oxygen and economically, known as and water",Carbon Dioxide,,,,,,,FIB
2,Materials: Metals and Non-Metals,True / False,,1,Metals are electropositive elements.,1,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,2,Different metals have same reactivities with water and dilute acids.,0,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,3,Naturally occurring metallic compounds are called minerals.,1,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,4,Bauxite is an ore of zinc.,0,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,5,Bromine is a gaseous non-metal.,0,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,6,In the activity series silver is above copper.,0,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,7,lodine is lustrous and is a metal.,0,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,8,Non-metals can easily lose electrons to form cations.,0,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,9,Non-metals are less dense and have low m.p. and b.p. as compared to metals.,1,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,10,Sodium and potassium occur in nature in free state.,0,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,11,Dental amalgams contain gold and mercury.,0,,,,,,,TF
2,Materials: Metals and Non-Metals,True / False,,12,Magnesium burns in air with dazzling white light.,1,,,,,,,TF
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,1,Select the one that could displace copper from a solution of copper sulphate,Silver,Mercury,Tin,Gold,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,2,Which of the following is a liquid metal?,Mercury,Bromine,Aluminium,Soduim,,a,,MCQ
