ChapterName,TestNumber,QuestionNumber,Question,Option 1,Option 2,Option 3,Option 4,Images?
Crop Production and Management,1,48,Which one of these processes is carried out by a combine? ,"Weeding, Harvesting, Threshing and winnowing ","Weeding, harvesting, winnowing and storing","Harvesting, threshing and winnowing ","Irrigation, harvesting and storing",
Crop Production and Management,1,49,Which one of these is an advantage of pesticides?,They can cause skin irritations in humans,They can cause breathing problems.,They can kill rats and termites,they can kill honeybees.,
Crop Production and Management,1,50,Which one of these chemicals can be used k remove termites in fields?,Zinc phosphate ,Butachlor,Warfarin ,DDT,
Crop Production and Management,1,51,"Since the past few days Ramesh's crop has been infested by rats, so which one of these chemicals should Ramesh spray on his field to get rid of the rats? ",DDT, MCPA ,Zinc phosphate ,Benzene hexachloride,
Crop Production and Management,1,52,In which one of these fields do you expect to find minimal weeds?,A field containing soya bean crop,A field containing groundnut crop ,A field containing paddy crop , A field containing maize crop,
Crop Production and Management,1,53,Choose the odd one out.,Urea,Potash ,Compost,Ammonium sulphate,
Crop Production and Management,1,54,"Which one of these substances can farmers make in their fields, on their own, and use in
their fields to improve crop yield? ",Manure ,Fungicide ,Fertilizer ,Weedicide,
Crop Production and Management,1,55,Which one of these would you consider to be an artificial method of replenishing nutrients in the soil,Addition of fertilizers,Mixed cropping ,Crop rotation ,Fallowing,
Crop Production and Management,1,56,"Which method of sowing seeds offers farmers  a better chance for selecting health seedlings for their plants and hence, ensures a better crop yield than all other methods of sowing crop yield seeds?",Sowing through seed drill ,Transplantation,Broadcasting,Furrowing,
Crop Production and Management,1,57,What will happen if seeds are sown too close tothe surface of the ground?,Seeds may compete with each other for resources., Seeds may not receive sufficient air.,Seeds may not get sufficient water,Seeds may be eaten by birds.,
Crop Production and Management,1,58,"A farmer has decided to grow a crop of kidney beans on his farm. In order to select seeds of good quality, he has soaked a large number of kidney beans in a big bowl of water. What will happen to the spoilt and unfit seeds in a little while?",The unfit seeds will shrink in water. , The unfit seeds will swell in water,The unfit seeds will float on water, The unfit seeds will sink in water.,
Crop Production and Management,1,59,Which one of these is a characteristic of ploughed soil?,It would not contain any lumps,It would not let microbes grow in it,It would have good drainage capacity ,It would not allow fertilizers to mix in it.,
Crop Production and Management,1,60,"A farmer is just starting crop production in his field. Ideally, which one of these processes should he start crop production with?",Sowing seeds,Ploughing ,Levelling,Weeding,
Crop Production and Management,1,61,Which one of these crops do you think would grow well in a place where rainfall is scanty? ,Paddy ,Wheat , Cotton ,Groundnut,
Crop Production and Management,1,62,Soya bean: kharif crop Similarly ,Groundnut: rabi crop,Cotton: rabi crop ,Paddy: rabi crop ,Gram: rabi crop,
Crop Production and Management,1,63,"Dharampal is an Indian farmer. He wants to grow a crop in his field during the monsoon season, from July to October. Which one of these crops do you think he should grow in his  field?",Linseed, Barley ,Maize,Pea,
Crop Production and Management,1,64,Which one of these spices grows in India?,Dill,Cumin ,Rosemary,Habanero,
Crop Production and Management,1,65,"Before the inception of agriculture, which one of these food items must have been difficult for ancient man to obtain? ",Fruits,Meat ,Milk, Nuts,
