Chapter Number,ChapterName,SubChapterName,TestNumber,QuestionNumber,"Metal with electronic configuration 2,8, 14, 2 can form two different hydrox- ides A and B. Both the hydroxides on reaction with sulphuric acid give two",Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,19,The acceleration of a car is 51840 km/h<sup>2</sup>.  The same is m/s<sup>2</sup> is ________,4,8,12,None,,A,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,20,0.4 sq.cm is ___________ sq.km,4 x 10<sup>-10</sup>,4 x 10<sup>-11</sup>,0.4 x 10<sup>-11</sup>,4 x 10<sup>-9</sup>,,D,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,21,1 mg (micro gram) = __________________ g,10<sup>-10</sup>,10<sup>-8</sup>,10<sup>-6</sup>,10<sup>-4</sup>,,C,,
1,Measurement,7. Measurement of length,Formative Worksheet,18,In decreasing magnitude which of the following is correct ?,"km, cm, m, mm ","km, m, cm, mm","m, km cm, mm","km, cm, mm, m",,B,,
1,Measurement,7. Measurement of length,Formative Worksheet,19,The number of rounds of a wire around a pencil are 24 and the length of the coil is 4.8 cm then what is the diameter of wire?,24 cm,2.4 cm,20 cm,0.2 cm,,D,,
1,Measurement,7. Measurement of length,Formative Worksheet,20,The distance between Radha's home and her school is 3250m.  Express this distance into km,32.5 km,3.25 km,0.325 km,0.0325 km,,B,,
1,Measurement,7. Measurement of length,Formative Worksheet,21,The hieght of a person is 1.65m.  Express this value in mm.,16.5 mm,165 mm,1650 mm,16500 mm,,C,,
1,Measurement,7. Measurement of length,Formative Worksheet,22,"While measureing the diameter of the ball, the inner edges of the wooden block stood at 3.4 cm and 4.7 cm on a scale. Calculate the diameter of the ball ?",1.3 cm,7.7 cm,0.13 cm,0.77 cm,,A,,
1,Measurement,7. Measurement of length,Formative Worksheet,23,"Fill in the  blanks _________
1)  1 cm = __________mm 
2) 1 dm = __________metre.
3)  1 kilometre = _________ metre.
4)  1 metre = __________ centimetre","(i) 1 cm = 1000 mm
(ii) 1 dm = 10<sup>-1</sup> m
(iii) 1 kilometre = 1000 cm
(iv) 1 m = 100 mm
","(i) 1 cm = 0.5 m
(ii) 1 dm = 10<sup>-1</sup> m
(iii) 1 kilometre = 1000 m
(iv) 1 m = 10 cm
","(i) 1 cm = 10 mm
(ii) 1 dm = 10<sup>-1</sup> m
(iii) 1 kilometre = 1000 m
(iv) 1 m = 100 cm
","(i) 1 cm = 100 mm
(ii) 1 dm = 10<sup>-1</sup> m
(iii) 1 kilometre = 1000 cm
(iv) 1 m = 1000 cm
",,C,,
1,Measurement,7. Measurement of length,Formative Worksheet,24,"Fill in the blanks with <or> sign.
1) 1 decametre                 1 decimnetre
2) 1 millimetre                  1 centimetre
3) 1 hectometre                1 kilometre
4) 1 decimetre                  1 centimetre",,,,,,DUMMY,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,22,What is the SI Unit of length ?,Metre,Centimetre,Kilometre,All of these,,A,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,23,4 Kilometre are equal to ,400000 metre,40000 metre,4000 metre,400 metre,,C,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,24,15 cm is equal to ,150 mm,15 mm,1.5 mm,0.15 mm,,A,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,25,Which of the correcrt relationship ?,1m=100 cm,1 cm=10mm,1 km = 1000 m,All of these,,D,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,26,1 cm = _________ kilometre,100,10<sup>5</sup>,10<sup>-5</sup>,10<sup>-2</sup>,,B,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,27,"Arrange the following lengths in their increasing magnitude
1 metre, 1 centimetre, 1 Kilometre, 1 millimetre",1 Centimetre < 1 millimimetre < 1 kilometre < 1 metre,1 milimetre < 1 centimetre < 1 metre < 1 kilometre,1 kilometre < 1 metre < 1 centimetre < 1 milimetre,None,,B,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,28,1 Angstrom = ___________,10<sup>-10</sup> m,10<sup>-8</sup>m,10<sup>-6</sup> mm,10<sup>-10</sup>cm,,A,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,29,1AU = __________,1.496 x 10<sup>11</sup> m,1.496 x 10<sup>9</sup> cm,1.496 x 10<sup>8</sup> m,1.444 x 10<sup>6</sup> m,,A,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,30,"The size of the bacteria is generally measured in microns.  The micrometre (m m), is often called the micron.  How many microns make up 1 Kilometre?",10<sup>2</sup>,10<sup>6</sup>,10<sup>9</sup>,10<sup>12</sup>,,C,,
1,Measurement,7. Measurement of length,Conceptive Worksheet,31,Least count of a metre scale is ____________,1 cm,0.1 mm,0.1 cm,0.01 mm,,C,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,25,One quintal = ____________ ton,10,100,0.1,0.01,,C,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,26,1 metric tonne = ___________ milligram,10<sup>3</sup>,10<sup>6</sup>,10<sup>9</sup>,10<sup>12</sup>,,C,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,27,1 microsecond = 10<sup>x</sup> millisecond.  Find x,+1,+3+,-1,-3,,D,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,28,1 kg = ________ tonne,100,1000,10<sup>-3</sup>,10<sup>-2</sup>,,C,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,29,A truck of weight 4 tonnes.  Its value in Kg?,4400 kg,440 kg,44 kg,4.4 kg,,A,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,30,How many seconds are equal to 6 hours 8 min?,86400 sec,43200 sec,1296480 sec,648240 sec,,A,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,31,Match the following,ABCD / rsqp,ABCD / sqrp,ABCD / pqrs,ABCD / srqp,CH1-FW31,D,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,32,Match the following,ABCD/ pqrs,ABCD/ qpsr,ABCD/ srqp,ABCD/ qrsp,CH1-FW32,B,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,33,"x is the number of years in a decade, y is the number of decades in a century and z is the number of centuries in a millienium. Find X:Y:z",1 : 1 : 1,1 : 2 : 1,1 : 2 : 3,2 : 3 : 4,,A,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,34,"1 minute / 60s + 60 minutes / 1 hour x and
1 decade / 10 years + 10 decades / 1 century = y.  Find x + yu",2,4,8,16,,B,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,35,"Image this hypopthetical situation.  The wealth possessed by the richest person of this world is Avogadro number (6.023 x 10<sup>23</sup>) of dollar.  He thought of donating his entire wealth to the needy and make their living healthy.  His life span is assumed to be 90 years and he is now 45.  the rate of donation is 5000 dollars per second and from now, every second of his existence is only used for donation.  Cane he empty all his wealth in this life?  Just your answer",,,,,,Dummy,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,36,"An unusual running race was organized between a rabbit and an ant.  By the time rabbit moves 1 m in one second, Ant moves 1 mm (millimetre) in the same time.  How much to will ant takes to cover the distance covered by the rabbit in 1 second?",10<sup>3</sup>sec,10<sup>2</sup>sec,10sec,1sec,,A,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,37,The average lifespan of a lion in the wild is upto 16 years.  If average number of days in a year is 365 days.  Express this age in hours.,1600,5840,140160,8409600,,C,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,38,"In physics, the Planck time (1<sub>p</sub>), is the unit of time in the system of natural units known as Planck units.  It is the time required for light to travel, in a vacuum, a distance of 1 Planck length (1.6 x 10<sup>35</sup>m).  The unit is named after Max Planck, who was the first to propose it.  the value of Planck time is approximately equal to 5.32 x 10<sup>44</sup> s.  And Century is one of the larger units of time and is equal to 100 years.  Find approximately how many Planck time's make one century.  (Take one year = 365 days)",1 Century = 5.89 x 10<sup>52</sup> t<sub>p</sub>,1 Century = 5.89 x 10<sup>62</sup> t<sub>p</sub>,1 Century = 5.89 x 10<sup>72</sup> t<sub>p</sub>,None of these,,A,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,39,"In the figure, if the time taken by the bob to move from A to B is 0.5 second, the time period of the pendulum is __________",0.5 sec,1 sec,1.5 sec,2 sec,CH1-FW39,D,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,40,"The time period of a simple pendulum is 2 seconds.  The time taken by it to complete 1/2 oscillation, is _________",1 sec,2 sec,4 sec,8 sec ,,A,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,41,"The time period of a simple pendulum is 5 seconds.  If mass of the bob is increased to 4 times the original, the new time period of it is _____________",20 sec,15 sec,10 sec,5 sec,,D,,
1,Measurement,9. Measurement of the Time,Formative Worksheet,42,There is a pendulum clock showing right time at a given place the length and mass of it is increased to time times the original.  Will there be any change in showing time.  If so explain.,"Increase in mass of the bob increases
time period of the pendulum.
","Increase in mass of the bob decreases
time period of the pendulum.
","Increase in mass of the bob has no effect on the
time period of the pendulum.
","Increase in mass of the bob has effect on the
time period of the pendulum.
",,C,"Time period of a pendulum depends on the length
of the pendulum.
Greater the length, Greater is the time period.
As the length is increased, time period also
increases.
Increase in mass of the bob has no effect on the
time period of the pendulum.
",
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,32,1 qunital = ____________________ kg,100 kg,1000 kg,10 kg,500 kg,,A,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,33,1 mean solar day = _________,365 days,10 years,24 hours,60 minutes,,A,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,34,Match the following,"A-r, B-p,C-q","A-q, B-p,C-r","A-p, B-q,C-r","A-r, B-q,C-p",CH1-CW34,B,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,35,Which is these is not a unit of time?,Second,Light year,Hour,Century,,D,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,36,Which of these is a type of clock ?,Hourglass,Sundial,Pendulum clock,All of these,,D,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,37,Which of these clocks would you expect to be the most accurate?,Pendulum clock,Atomic clock,Sundial ,Water clock,,B,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,38,"The time period of the seconds pendulum is 2 seconds.  Now, match the following with respect to seconds pendulum",ABCD/qrsp,ABCD/pqrs,ABCD/rsqp,ABCD/psrq,CH1-CW38,A,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,39,"If the Charminar superfast express staying 00 hours in Warangal, the time in 12 hours clock is ________",12 O' clock at night,12 O' clock at noon,18' clock at night,18 O' clock at noon,,A,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,40,"A passenger goes to Secundrabad railway station. He asked the enquiry counter, ""When did Tirumala express come?""  The enquiry counter person replied ""18 hours 15 minutes."" Then the time in his 12 hours clock was _________",5 hours - 45 munites AM,5 hours - 45 munites PM,6 hours - 15 munites AM,6 hours - 15 munites PM,,D,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,41,"Fill in the following blanks :
i) ______________ (Century/minute) is a very large unit of time.
Ii) One __________ is equal to 10 centuries
iii) ____________ made the first pendulum clock
iv) ________________ is the time taken to complete one oscillation
v) _____________ is the SI unit of time",i. Century ii. Millenium iii. Christian Huygens iv. Time period v.Second,i. minute ii. Year iii. Christian Huygens iv. Time period v.Second,i. Century ii. Millenium iii. Christian Huygens iv. Time period v.Hour,i. Minute ii. Millenium iii. Christian Huygens iv. Time period v. Day,,A,,
1,Measurement,9. Measurement of the Time,Conceptive Worksheet,42,The time period of a simple pendulum depends on ,the length of the string used,the mass of the bob,the extent to which the bob is diplaced,None of these,,A,,
1,Measurement,10. Measurement of Area,Formative Worksheet,43,1 Cm<sup>2</sup> = _______________,1/10000 m<sup>2</sup>,10<sup>-5 m<sup>2</sup>,1/1000000 m<sup>2</sup>,10<sup>-4</sup> m<sup>2</sup>,,D,,
1,Measurement,10. Measurement of Area,Formative Worksheet,44,1 km<sup>2</sup> = ________________ hectares,10000,1000,100,10,,C,,
1,Measurement,10. Measurement of Area,Formative Worksheet,45,"Statement I : Km<sup>2</sup> = 1,000,000 m<sup>2</sup>
Statement II : 1 hectare = 100 Area","Statement - I is true, Statement - II is false","Statement - I is false, Statement - II is true",Both Statements I </sup> II are true,Both Statements I </sup> II false,,C,,
1,Measurement,10. Measurement of Area,Formative Worksheet,46,"The area of a square surface, whose each side is equal to one metre is ",Square millimetre,Square centimetre,square cube metre,square metre,,D,,
1,Measurement,10. Measurement of Area,Formative Worksheet,47,A school hall measures 20 m in length and 12 m in breadth.  Find the are of the school hall.,1200 m<sup>2</sup>,120 m<sup>2</sup>,240 m<sup>2</sup>,2400 m<sup>2</sup>,,C,,
1,Measurement,10. Measurement of Area,Formative Worksheet,48,The length of the school play ground is 400 m and breadth is 100 m.  The area of the play ground is _______ hectares.,3 hectares,2 hectares,4 hectares,5 hectares,,C,,
1,Measurement,10. Measurement of Area,Formative Worksheet,49,What is the area of rectangular graph paper having 6 cm length and 5 cm width?,11 cm<sup>2</sup>,1 cm<sup>2</sup>,30 cm<sup>2</sup>,60 cm<sup>2</sup>,,C,,
1,Measurement,10. Measurement of Area,Formative Worksheet,50,1 m<sup>2</sup> = _______________ hectare,"x = 10<sup>-6</sup>, y = 10<sup>-4</sup>, 10<sup>2</sup>","x = 10<sup>-4</sup>, y = 10<sup>-2</sup>, z = 10<sup>-6</sup>","x = 10<sup>-2</sup>, y = 10<sup>-4</sup>, z = 10<sup>-6</sup>","x = 10<sup>-4</sup>, y = 10<sup>-6</sup>, z = 10<sup>-2</sup>",,B,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,43,The amount of surface occupied by an object or a plane is ,length,temperature,area,volume,,C,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,44,Unit of area is a ,Fundamental unit,dervived unit,Both (1) and (2),None,,B,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,45,in C.G.S. System the unit of area is,S<sup>2</sup>,kg<sup>2</sup>,cm<sup>2</sup>,m<sup>2</sup>,,C,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,46,Area of 1 sqcm is,100 mm<sup>2</sup>,1000 mm<sup>2</sup>,10 mm<sup>2</sup>,10000 mm<sup>2</sup>,,A,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,47,How many small squares are there in 1 sq.cm?,1000,100,10,1,,D,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,48,Area of irregular shaped bodies are measured using ,Graph paper,Scale,Using formula,Tape,,A,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,49,"The are of the land is 100m<sup>2</sup>, here m<sup>2</sup> stands for ",Numerical value of area,Unit of area,Both (A) and (B),None of these,,B,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,50,1 km<sup>2</sup> = ________________ ,1 Hectare,10 hectares,100 hectares,1000 hectares,,C,,
1,Measurement,10. Measurement of Area,Conceptive Worksheet,51,1 hectare = ___________,1000 m<sup>2</sup>,10000 m<sup>2</sup>,100000 m<sup>2</sup>,100 m<sup>2</sup>,,B,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,51,"Statement I :  The smaller unit for measuring volume of liquids is milli litre
Statement II :  In standard international system volume is measured in cubic metre","Statement - I is true, Statement - II is false","Statement - I is false, Statement - II is true",Both Statements I </sup> II are true,Both Statements I </sup> II false,,C,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,52,"If length, breadth and height of cuboid are 20 cm, 18 cm and 15 cm, then it volume in M.K.S. system is",540 cubic metre,540000 cubic metre,640 cubic metre,640000 cubic metre,,B,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,53,"If length breadth and height of cuboid are 30 m, 28 m, and 12 m then it volume in C.G.S. system is ",1008.00 cubic cm,10080000 cubic cm,10.08000 cubic cm,100.80 cubic cm,,C,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,54,"A rectangular box with lid is made of a metal sheet of thickness 0.5 cm.  Its outer dimensions are 40 cm, 3+6 cm, 21 cm.  If the weight of the metal is 2.5 grams per cubic centimetre, then
Match the following",,,,,x,DUMMY,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,55,"Find the volume of cuboid of dimensions 5 cm, 4 cm and 3 cm.",60 cm<sup>3</sup>,120 cm<sup>3</sup>,240 cm<sup>3</sup>,480 cm<sup>3</sup>,,A,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,56,"A measuring cylinder has 75 cm<sup>3</sup> of water, when a stone is droped water level rises to 125 cm<sup>3</sup>.  What is the volume of stone?",25 cm<sup>3</sup>,50 cm<sup>3</sup>,75 cm<sup>3</sup>,100 cm<sup>3</sup>,,B,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,57,A stone of volume. 50 cm<sup>3</sup> lowered into 80 cm<sup>3</sup> of water in a measuring jar.  Then what will be the new reading in measuring jar?,15 cm<sup>3</sup>,30 cm<sup>3</sup>,45 cm<sup>3</sup>,60 cm<sup>3</sup>,,B,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,58,The volume of a rectangular slab is 12 cm<sup>3</sup>.  The length and breadth of the slab are 3 cm and 2 cm respectively.  Find it sheight.,10 cm,8 cm,4 cm,2 cm,,D,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,59,A boy has purchased a toy.  Which is in the form of a cuboid.  The cuboid has the following dimensions : 0.003 km x 0.03 m x 3 cm.  What is volume of this cuboid?,900 cm<sup>3</sup>,1800 cm<sup>3</sup>,2700 cm<sup>3</sup>,3600 cm<sup>3</sup>,,C,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,60,"When a stone is lowered into a measuring cylinder containing water, the volume becomes 9.3 ml.  If the volume of the stone is 5.8 ml, find the initial volume of water in the measuring cylinder",3.5 ml,5 ml,6.5 ml,8.5 ml,,A,,
1,Measurement,11. Measurement of Voume,Formative Worksheet,61,Express 5 cm<sup>3</sup> in terms of cubic millimetres,500 mm<sup>3</sup>,5000 mm<sup>3</sup>,50 mm<sup>3</sup>,0.5 nm<sup>3</sup>,,B,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,52,Which of the following measuring vessels are used to measure volume of liquids,measuring jar,burette,Pipette,Measuring flask,,A,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,53,1 litre = ____________,1000 millimetre,100 cc,Both (A) and (B),None,,A,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,54,The volume occupied by a cube whose each side is equal to 1 cm is called,Cubic centimetre,Cubic Millimetre,Cubic Metre,None of these,,A,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,55,Volume of rectangular glass of a regular body is ____________,length + breadth + height,length - breadth + height,(length x breadth) + height,length x breadth x height,,D,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,56,The space inside a regular or irregular objects is known as its,Area,Volume,Mass,Length,,B,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,57,The unit for the volume of solids in MKS system is ,cm<sup>3,m<sup>3,ml<sup>3,1<sup>3,,B,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,58,One cubic meter is,10<sup>cc,10<sup>4cc,10<sup>3cc,10<sup>9cc,,A,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,59,In laboratories to take specific volume of liquid we use?,Pipette,burette,Measuring Jar,Measuring Vessel,,A,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,60,1 litre = ____________,1000cc,1000cm,100ml,100cm,,A,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,61,The space occupied by a substance is called ______________,area,length,volume,None of these,,C,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,62,The CGS unit of volume is _____________,Cubic centimetre,Cubic Millimetre,Cubic Metre,Cubic litre,,A,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,63,One cubic meter is equal to _____________,10<sup>6</sup>cc,10<sup>4</sup> cc,10<sup>3</sup> cc,10<sup>9</sup> cc,,A,,
1,Measurement,11. Measurement of Voume,Conceptive Worksheet,64,The volume occupied by a cube whose each side is equal to 1 cm is called,Cubic centimetre,Cubic Millimetre,Cubic Metre,Cubic litre,,A,,
1,Measurement,12. Measurement of Density,Formative Worksheet,62,"Statement I  : The density of liquids and gases changes with change in temperature
Statement II : The substancs having a density less than 1 g/cm<sup>3</sup> will flow in water","Statement - I is true, Statement - II is false","Statement - I is false, Statement - II is true",Both Statements I and II are true,Both Statements I and II are false,,C,,
